General ID/String;General OriginalSourceMedium_ID/String;General UniqueID/String;General MenuID/String;General CompleteName;General CompleteName_Last;General Format/String;General Format/Info;General Format_Commercial_IfAny;General Format_Version;General Format_Profile;General Format_Level;General Format_Compression;General Format_Settings;General CodecID/String;General CodecID/Info;General CodecID/Hint;General CodecID_Description;General FileSize/String;General Duration/String;General Duration_Start;General Duration_End;General OverallBitRate_Mode/String;General OverallBitRate/String;General OverallBitRate_Minimum/String;General OverallBitRate_Nominal/String;General OverallBitRate_Maximum/String;General Album_ReplayGain_Gain/String;General Album_ReplayGain_Peak;General Encryption;General UniversalAdID/String;General Domain;General Collection;General Season;General Season_Position;General Season_Position_Total;General Movie;General Movie_More;General Movie/Country;General Movie/Url;General Album;General Album_More;General Album/Sort;General Album/Performer;General Album/Performer/Sort;General Album/Performer/Url;General Comic;General Comic_More;General Comic/Position_Total;General Part;General Part/Position;General Part/Position_Total;General Track;General Track_More;General Track/Url;General Track/Sort;General Track/Position;General Track/Position_Total;General PackageName;General Grouping;General Chapter;General SubTrack;General Original/Album;General Original/Movie;General Original/Part;General Original/Track;General Compilation/String;General Performer;General Performer/Sort;General Performer/Url;General Original/Performer;General Accompaniment;General Composer;General Composer/Nationality;General Composer/Sort;General Arranger;General Lyricist;General Original/Lyricist;General Conductor;General Director;General CoDirector;General AssistantDirector;General DirectorOfPhotography;General SoundEngineer;General ArtDirector;General ProductionDesigner;General Choregrapher;General CostumeDesigner;General Actor;General Actor_Character;General WrittenBy;General ScreenplayBy;General EditedBy;General CommissionedBy;General Producer;General CoProducer;General ExecutiveProducer;General MusicBy;General DistributedBy;General OriginalSourceForm/DistributedBy;General MasteredBy;General EncodedBy;General RemixedBy;General ProductionStudio;General ThanksTo;General Publisher;General Publisher/URL;General Label;General Genre;General PodcastCategory;General Mood;General ContentType;General Subject;General Description;General Keywords;General Summary;General Synopsis;General Period;General LawRating;General LawRating_Reason;General ICRA;General Released_Date;General Original/Released_Date;General Recorded_Date;General Encoded_Date;General Tagged_Date;General Written_Date;General Mastered_Date;General Recorded_Location;General Written_Location;General Archival_Location;General Encoded_Application/String;General Encoded_Library/String;General Encoded_Library_Settings;General Cropped;General Dimensions;General DotsPerInch;General Lightness;General OriginalSourceMedium;General OriginalSourceForm;General OriginalSourceForm/NumColors;General OriginalSourceForm/Name;General OriginalSourceForm/Cropped;General OriginalSourceForm/Sharpness;General Tagged_Application;General BPM;General ISRC;General ISBN;General BarCode;General LCCN;General CatalogNumber;General LabelCode;General Owner;General Copyright;General Copyright/Url;General Producer_Copyright;General TermsOfUse;General ServiceName;General ServiceChannel;General Service/Url;General ServiceProvider;General ServiceProvider/Url;General ServiceType;General NetworkName;General OriginalNetworkName;General Country;General TimeZone;General Cover;General Cover_Description;General Cover_Type;General Cover_Mime;General Lyrics;General Comment;General Rating;General Added_Date;General Played_First_Date;General Played_Last_Date;General Played_Count;Audio 0 ID/String;Audio 0 OriginalSourceMedium_ID/String;Audio 0 UniqueID/String;Audio 0 MenuID/String;Audio 0 Format/String;Audio 0 Format/Info;Audio 0 Format_Commercial_IfAny;Audio 0 Format_Version;Audio 0 Format_Profile;Audio 0 Format_Level;Audio 0 Format_Compression;Audio 0 Format_Settings;Audio 0 Format_Settings_Floor;Audio 0 Format_Settings_Law;Audio 0 Format_Settings_Wrapping;Audio 0 Matrix_Format;Audio 0 MuxingMode;Audio 0 MuxingMode_MoreInfo;Audio 0 CodecID;Audio 0 CodecID/String;Audio 0 CodecID/Info;Audio 0 CodecID/Hint;Audio 0 CodecID_Description;Audio 0 Duration/String;Audio 0 Duration_FirstFrame/String;Audio 0 Duration_LastFrame/String;Audio 0 Source_Duration/String;Audio 0 Source_Duration_FirstFrame/String;Audio 0 Source_Duration_LastFrame/String;Audio 0 BitRate_Mode/String;Audio 0 BitRate/String;Audio 0 BitRate_Minimum/String;Audio 0 BitRate_Nominal/String;Audio 0 BitRate_Maximum/String;Audio 0 BitRate_Encoded/String;Audio 0 Channel(s)/String;Audio 0 Channel(s)_Original/String;Audio 0 Matrix_Channel(s)/String;Audio 0 Matrix_ChannelPositions;Audio 0 ChannelLayout;Audio 0 SamplingRate/String;Audio 0 FrameRate/String;Audio 0 BitDepth/String;Audio 0 BitDepth_Detected/String;Audio 0 BitDepth_Stored/String;Audio 0 Compression_Mode/String;Audio 0 Compression_Ratio;Audio 0 Video_Delay/String;Audio 0 ReplayGain_Gain/String;Audio 0 ReplayGain_Peak;Audio 0 StreamSize/String;Audio 0 Source_StreamSize/String;Audio 0 StreamSize_Encoded/String;Audio 0 Source_StreamSize_Encoded/String;Audio 0 Alignment/String;Audio 0 Interleave_Duration/String;Audio 0 Interleave_Preload/String;Audio 0 Title;Audio 0 Encoded_Application/String;Audio 0 Encoded_Library/String;Audio 0 Encoded_Library_Settings;Audio 0 Language/String;Audio 0 Language_More;Audio 0 ServiceKind/String;Audio 0 Disabled/String;Audio 0 Default/String;Audio 0 Forced/String;Audio 0 AlternateGroup/String;Audio 0 Encoded_Date;Audio 0 Tagged_Date;Audio 0 Encryption;Audio 1 ID/String;Audio 1 OriginalSourceMedium_ID/String;Audio 1 UniqueID/String;Audio 1 MenuID/String;Audio 1 Format/String;Audio 1 Format/Info;Audio 1 Format_Commercial_IfAny;Audio 1 Format_Version;Audio 1 Format_Profile;Audio 1 Format_Level;Audio 1 Format_Compression;Audio 1 Format_Settings;Audio 1 Format_Settings_Floor;Audio 1 Format_Settings_Law;Audio 1 Format_Settings_Wrapping;Audio 1 Matrix_Format;Audio 1 MuxingMode;Audio 1 MuxingMode_MoreInfo;Audio 1 CodecID;Audio 1 CodecID/String;Audio 1 CodecID/Info;Audio 1 CodecID/Hint;Audio 1 CodecID_Description;Audio 1 Duration/String;Audio 1 Duration_FirstFrame/String;Audio 1 Duration_LastFrame/String;Audio 1 Source_Duration/String;Audio 1 Source_Duration_FirstFrame/String;Audio 1 Source_Duration_LastFrame/String;Audio 1 BitRate_Mode/String;Audio 1 BitRate/String;Audio 1 BitRate_Minimum/String;Audio 1 BitRate_Nominal/String;Audio 1 BitRate_Maximum/String;Audio 1 BitRate_Encoded/String;Audio 1 Channel(s)/String;Audio 1 Channel(s)_Original/String;Audio 1 Matrix_Channel(s)/String;Audio 1 Matrix_ChannelPositions;Audio 1 ChannelLayout;Audio 1 SamplingRate/String;Audio 1 FrameRate/String;Audio 1 BitDepth/String;Audio 1 BitDepth_Detected/String;Audio 1 BitDepth_Stored/String;Audio 1 Compression_Mode/String;Audio 1 Compression_Ratio;Audio 1 Video_Delay/String;Audio 1 ReplayGain_Gain/String;Audio 1 ReplayGain_Peak;Audio 1 StreamSize/String;Audio 1 Source_StreamSize/String;Audio 1 StreamSize_Encoded/String;Audio 1 Source_StreamSize_Encoded/String;Audio 1 Alignment/String;Audio 1 Interleave_Duration/String;Audio 1 Interleave_Preload/String;Audio 1 Title;Audio 1 Encoded_Application/String;Audio 1 Encoded_Library/String;Audio 1 Encoded_Library_Settings;Audio 1 Language/String;Audio 1 Language_More;Audio 1 ServiceKind/String;Audio 1 Disabled/String;Audio 1 Default/String;Audio 1 Forced/String;Audio 1 AlternateGroup/String;Audio 1 Encoded_Date;Audio 1 Tagged_Date;Audio 1 Encryption
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_112.mp3;;MPEG Audio;;;;;;;;;;;;40.7 KiB;3 s 186 ms;;;Variable;104 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;104 kb/s;;112 kb/s;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;40.3 KiB (99%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 20.5 --abr 112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_128.mp3;;MPEG Audio;;;;;;;;;;;;47.0 KiB;3 s 186 ms;;;Variable;120 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;120 kb/s;;128 kb/s;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;46.6 KiB (99%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 20.5 --abr 128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_144.mp3;;MPEG Audio;;;;;;;;;;;;54.2 KiB;3 s 216 ms;;;Variable;137 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 2;Layer 3;;;;;;;;;;;;;;;3 s 216 ms;;;;;;Variable;144 kb/s;;;;;1 channel;;;;;24.0 kHz;41.667 FPS (576 SPF);;;;Lossy;;;;;54.0 KiB (100%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 12 --abr 144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_16.mp3;;MPEG Audio;;;;;;;;;;;;6.52 KiB;3 s 216 ms;;;Variable;16.1 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 2;Layer 3;;;;;;;;;;;;;;;3 s 216 ms;;;;;;Variable;16.0 kb/s;;;;;1 channel;;;;;24.0 kHz;41.667 FPS (576 SPF);;;;Lossy;;;;;6.33 KiB (97%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 5.6 --abr 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_160.mp3;;MPEG Audio;;;;;;;;;;;;60.2 KiB;3 s 186 ms;;;Variable;154 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;160 kb/s;;;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;59.8 KiB (99%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 20.5 --abr 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_24.mp3;;MPEG Audio;;;;;;;;;;;;9.40 KiB;3 s 216 ms;;;Variable;23.5 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 2;Layer 3;;;;;;;;;;;;;;;3 s 216 ms;;;;;;Variable;24.0 kb/s;;;;;1 channel;;;;;24.0 kHz;41.667 FPS (576 SPF);;;;Lossy;;;;;9.21 KiB (98%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 5.9 --abr 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_32.mp3;;MPEG Audio;;;;;;;;;;;;13.1 KiB;3 s 186 ms;;;Variable;32.6 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;32.0 kb/s;;;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;12.7 KiB (97%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 8.3 --abr 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_40.mp3;;MPEG Audio;;;;;;;;;;;;15.3 KiB;3 s 186 ms;;;Variable;38.4 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;40.0 kb/s;;;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;14.9 KiB (97%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 10.5 --abr 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_48.mp3;;MPEG Audio;;;;;;;;;;;;18.1 KiB;3 s 187 ms;;;Variable;45.4 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;45.4 kb/s;;48.0 kb/s;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;17.7 KiB (98%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 11.3 --abr 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;G:\Arun\Arun\Phd\PoultryData\audio\v2\sick-v2\audio-quality\bitrate\crowd_normal_56.mp3;;MPEG Audio;;;;;;;;;;;;21.0 KiB;3 s 186 ms;;;Variable;53.0 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LAME3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MPEG Audio;;;Version 1;Layer 3;;;;;;;;;;;;;;;3 s 186 ms;;;;;;Variable;53.0 kb/s;;56.0 kb/s;;;1 channel;;;;;44.1 kHz;38.281 FPS (1152 SPF);;;;Lossy;;;;;20.6 KiB (98%);;;;;;;;;LAME3.100;-m m -V 4 -q 3 -lowpass 15 --abr 56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
